phoneme,source,F1_mean,F2_mean,F1_std,F2_std,n_tokens
iː,deterding_rp,280.0,2249.0,,,
ɪ,deterding_rp,367.0,1757.0,,,
ɛ,deterding_rp,580.0,1799.0,,,
æ,deterding_rp,748.0,1710.0,,,
ɔː,deterding_rp,430.0,700.0,,,
ʊ,deterding_rp,378.0,950.0,,,
uː,deterding_rp,310.0,1156.0,,,
ʌ,deterding_rp,623.0,1224.0,,,
eɪ,deterding_rp,530.0,1680.0,,,
iː,modern_rp_bbc,378.6,2030.5,130.2,409.9,251.0
ɪ,modern_rp_bbc,425.2,1839.4,149.8,396.8,1029.0
ʊ,modern_rp_bbc,401.8,1532.0,119.8,294.3,59.0
uː,modern_rp_bbc,390.9,1643.2,144.0,398.9,218.0
eɪ,modern_rp_bbc,424.8,2081.8,125.3,359.2,286.0
ɛ,modern_rp_bbc,500.0,1617.1,144.7,312.1,486.0
æ,modern_rp_bbc,565.2,1527.5,182.3,303.5,301.0
ʌ,modern_rp_bbc,480.6,1386.9,169.5,340.3,207.0
ɔː,modern_rp_bbc,479.4,1123.5,116.4,413.9,255.0
iː,modern_rp_fry,344.4,1872.1,97.9,334.5,604.0
ɪ,modern_rp_fry,380.4,1721.1,119.8,287.5,2237.0
ʊ,modern_rp_fry,383.4,1408.5,120.5,303.3,203.0
uː,modern_rp_fry,354.2,1449.8,111.0,330.2,593.0
eɪ,modern_rp_fry,381.2,1795.1,96.2,257.2,598.0
ɛ,modern_rp_fry,439.4,1547.6,118.4,246.7,994.0
æ,modern_rp_fry,498.8,1479.4,164.2,228.4,760.0
ʌ,modern_rp_fry,457.6,1346.6,156.8,282.2,535.0
ɔː,modern_rp_fry,447.8,1152.7,105.1,497.5,611.0
iː,modern_rp_lindsey,342.6,2087.2,111.2,350.7,171.0
ɪ,modern_rp_lindsey,367.9,1946.9,120.5,328.2,454.0
ʊ,modern_rp_lindsey,374.4,1469.6,102.5,504.6,25.0
uː,modern_rp_lindsey,330.0,1754.9,71.8,410.3,102.0
eɪ,modern_rp_lindsey,376.6,1988.0,83.7,262.6,143.0
ɛ,modern_rp_lindsey,444.2,1638.0,122.8,323.6,163.0
æ,modern_rp_lindsey,451.2,1702.6,184.4,406.9,125.0
ʌ,modern_rp_lindsey,427.9,1446.8,138.7,519.7,92.0
ɔː,modern_rp_lindsey,436.6,1167.8,116.5,730.0,109.0
iː,real_bc,318.6,1852.2,112.0,317.9,177.0
ɪ,real_bc,369.7,1684.8,134.5,304.0,630.0
ʊ,real_bc,407.6,1524.4,150.3,279.3,60.0
uː,real_bc,349.7,1621.2,117.4,287.3,208.0
eɪ,real_bc,374.2,1825.4,114.2,296.2,159.0
ɛ,real_bc,438.2,1478.3,125.0,247.2,282.0
æ,real_bc,492.1,1426.6,177.6,235.3,233.0
ʌ,real_bc,419.0,1303.9,146.4,285.6,180.0
ɔː,real_bc,435.7,1165.4,123.7,385.1,118.0
iː,synth_bc,314.0,2032.2,76.9,249.4,21.0
ɪ,synth_bc,343.4,1700.7,151.5,334.2,49.0
ʊ,synth_bc,422.7,1260.3,141.1,275.6,14.0
uː,synth_bc,316.2,1567.4,59.5,324.9,24.0
eɪ,synth_bc,389.6,1814.2,88.9,261.3,17.0
ɛ,synth_bc,485.6,1504.1,189.7,213.0,29.0
æ,synth_bc,598.0,1420.2,227.2,206.3,27.0
ʌ,synth_bc,369.7,1225.8,178.6,183.7,14.0
ɔː,synth_bc,430.9,959.0,92.4,177.7,19.0
iː,owner,499.7,1836.6,185.7,575.7,20.0
ɪ,owner,450.4,1841.0,142.7,400.1,69.0
ʊ,owner,482.2,1412.3,148.6,385.7,15.0
uː,owner,437.5,1483.3,140.7,336.5,30.0
eɪ,owner,491.7,1893.0,142.6,600.5,18.0
ɛ,owner,539.7,1737.2,125.4,261.8,38.0
æ,owner,550.1,1724.9,126.1,194.7,36.0
ʌ,owner,559.8,1211.9,163.1,252.7,16.0
ɔː,owner,530.8,1126.1,120.6,365.3,18.0
iː,modern_rp,352.5,1946.7,109.8,368.1,1026.0
ɪ,modern_rp,391.3,1781.3,130.6,335.8,3720.0
ʊ,modern_rp,386.4,1439.2,118.8,326.2,287.0
uː,modern_rp,360.2,1530.1,117.7,374.4,913.0
eɪ,modern_rp,392.7,1901.8,105.4,317.1,1027.0
ɛ,modern_rp,457.8,1577.1,130.0,278.0,1643.0
æ,modern_rp,510.6,1515.1,174.5,280.4,1186.0
ʌ,modern_rp,460.0,1367.7,158.7,332.1,834.0
ɔː,modern_rp,454.8,1146.7,110.4,508.9,975.0
