source,n_vowels,f1_range_hz,f2_range_hz,area_hz2,articulation_idx
deterding_rp,9,468.0000,1549.0000,394930.0000,7.0899
modern_rp_bbc,9,186.6000,958.3000,91707.5950,1.6464
modern_rp_fry,9,154.4000,719.4000,54824.2200,0.9842
modern_rp_lindsey,9,121.2000,919.4000,56582.0500,1.0158
real_bc,9,173.5000,686.8000,47013.1100,0.8440
synth_bc,9,284.0000,1073.2000,145926.1000,2.6197
owner,9,122.3000,766.9000,62805.4850,1.1275
modern_rp,9,158.1000,800.0000,64518.5650,1.1583
modern_rp_full,9,149.8667,848.6000,65585.5039,1.1774
modern_rp_no_bbc,9,132.9000,819.4000,55014.0625,0.9876
native_wide,9,180.1250,849.7000,70350.1875,1.2629
