,deterding_rp,modern_rp_bbc,modern_rp_fry,modern_rp_lindsey,real_bc,synth_bc,owner,modern_rp,modern_rp_full,modern_rp_no_bbc,native_wide
deterding_rp,0.000000,2.374057,2.056161,2.373679,2.900921,2.476095,2.510687,2.118130,2.182877,2.150013,2.282935
modern_rp_bbc,2.374057,0.000000,0.967998,1.386148,1.288049,1.702113,2.474484,0.659228,0.647163,1.038319,1.003480
modern_rp_fry,2.056161,0.967998,0.000000,1.195599,1.448639,1.929346,2.123495,0.361950,0.578968,0.611822,1.057961
modern_rp_lindsey,2.373679,1.386148,1.195599,0.000000,1.590083,1.956110,1.996516,1.040434,0.834591,0.592404,1.122982
real_bc,2.900921,1.288049,1.448639,1.590083,0.000000,1.528710,2.891598,1.322415,1.267666,1.397965,0.892812
synth_bc,2.476095,1.702113,1.929346,1.956110,1.528710,0.000000,2.991892,1.786395,1.729510,1.852785,1.025564
owner,2.510687,2.474484,2.123495,1.996516,2.891598,2.991892,0.000000,2.166035,2.137218,1.992442,2.454328
modern_rp,2.118130,0.659228,0.361950,1.040434,1.322415,1.786395,2.166035,0.000000,0.267068,0.508711,0.890269
modern_rp_full,2.182877,0.647163,0.578968,0.834591,1.267666,1.729510,2.137218,0.267068,0.000000,0.393209,0.802416
modern_rp_no_bbc,2.150013,1.038319,0.611822,0.592404,1.397965,1.852785,1.992442,0.508711,0.393209,0.000000,0.909386
native_wide,2.282935,1.003480,1.057961,1.122982,0.892812,1.025564,2.454328,0.890269,0.802416,0.909386,0.000000
