phoneme,source,F1_mean,F2_mean,F1_lobanov,F2_lobanov
iː,deterding_rp,280.000000,2249.000000,-1.290564,1.687102
ɪ,deterding_rp,367.000000,1757.000000,-0.705100,0.622323
ɛ,deterding_rp,580.000000,1799.000000,0.728279,0.713219
æ,deterding_rp,748.000000,1710.000000,1.858831,0.520607
ɔː,deterding_rp,430.000000,700.000000,-0.281143,-1.665220
ʊ,deterding_rp,378.000000,950.000000,-0.631075,-1.124174
uː,deterding_rp,310.000000,1156.000000,-1.088680,-0.678352
ʌ,deterding_rp,623.000000,1224.000000,1.017646,-0.531187
eɪ,deterding_rp,530.000000,1680.000000,0.391805,0.455681
iː,modern_rp_bbc,378.600000,2030.500000,-1.235428,1.350555
ɪ,modern_rp_bbc,425.200000,1839.400000,-0.424696,0.685486
ʊ,modern_rp_bbc,401.800000,1532.000000,-0.831802,-0.384332
uː,modern_rp_bbc,390.900000,1643.200000,-1.021436,0.002668
eɪ,modern_rp_bbc,424.800000,2081.800000,-0.431655,1.529090
ɛ,modern_rp_bbc,500.000000,1617.100000,0.876649,-0.088165
æ,modern_rp_bbc,565.200000,1527.500000,2.010977,-0.399993
ʌ,modern_rp_bbc,480.600000,1386.900000,0.539134,-0.889311
ɔː,modern_rp_bbc,479.400000,1123.500000,0.518257,-1.805999
iː,modern_rp_fry,344.400000,1872.100000,-1.312395,1.574859
ɪ,modern_rp_fry,380.400000,1721.100000,-0.588746,0.879074
ʊ,modern_rp_fry,383.400000,1408.500000,-0.528442,-0.561338
uː,modern_rp_fry,354.200000,1449.800000,-1.115401,-0.371034
eɪ,modern_rp_fry,381.200000,1795.100000,-0.572665,1.220055
ɛ,modern_rp_fry,439.400000,1547.600000,0.597233,0.079613
æ,modern_rp_fry,498.800000,1479.400000,1.791253,-0.234642
ʌ,modern_rp_fry,457.600000,1346.600000,0.963078,-0.846563
ɔː,modern_rp_fry,447.800000,1152.700000,0.766085,-1.740024
iː,modern_rp_lindsey,342.600000,2087.200000,-1.201469,1.427448
ɪ,modern_rp_lindsey,367.900000,1946.900000,-0.616908,0.924395
ʊ,modern_rp_lindsey,374.400000,1469.600000,-0.466724,-0.786989
uː,modern_rp_lindsey,330.000000,1754.900000,-1.492594,0.235969
eɪ,modern_rp_lindsey,376.600000,1988.000000,-0.415893,1.071762
ɛ,modern_rp_lindsey,444.200000,1638.000000,1.146017,-0.183182
æ,modern_rp_lindsey,451.200000,1702.600000,1.307753,0.048445
ʌ,modern_rp_lindsey,427.900000,1446.800000,0.769402,-0.868740
ɔː,modern_rp_lindsey,436.600000,1167.800000,0.970417,-1.869109
iː,real_bc,318.600000,1852.200000,-1.643343,1.434802
ɪ,real_bc,369.700000,1684.800000,-0.618427,0.659342
ʊ,real_bc,407.600000,1524.400000,0.141737,-0.083692
uː,real_bc,349.700000,1621.200000,-1.019568,0.364723
eɪ,real_bc,374.200000,1825.400000,-0.528170,1.310654
ɛ,real_bc,438.200000,1478.300000,0.755483,-0.297244
æ,real_bc,492.100000,1426.600000,1.836560,-0.536738
ʌ,real_bc,419.000000,1303.900000,0.370387,-1.105131
ɔː,real_bc,435.700000,1165.400000,0.705341,-1.746715
iː,synth_bc,314.000000,2032.200000,-1.094359,1.728993
ɪ,synth_bc,343.400000,1700.700000,-0.751310,0.655635
ʊ,synth_bc,422.700000,1260.300000,0.173988,-0.770328
uː,synth_bc,316.200000,1567.400000,-1.068688,0.224025
eɪ,synth_bc,389.600000,1814.200000,-0.212234,1.023135
ɛ,synth_bc,485.600000,1504.100000,0.907925,0.019068
æ,synth_bc,598.000000,1420.200000,2.219444,-0.252591
ʌ,synth_bc,369.700000,1225.800000,-0.444433,-0.882035
ɔː,synth_bc,430.900000,959.000000,0.269668,-1.745902
iː,owner,499.700000,1836.600000,-0.120712,0.931104
ɪ,owner,450.400000,1841.000000,-1.321606,0.947396
ʊ,owner,482.200000,1412.300000,-0.546993,-0.640018
uː,owner,437.500000,1483.300000,-1.635836,-0.377115
eɪ,owner,491.700000,1893.000000,-0.315583,1.139945
ɛ,owner,539.700000,1737.200000,0.853645,0.563040
æ,owner,550.100000,1724.900000,1.106977,0.517495
ʌ,owner,559.800000,1211.900000,1.343259,-1.382071
ɔː,owner,530.800000,1126.100000,0.636850,-1.699776
iː,modern_rp,352.500000,1946.700000,-1.297885,1.506496
ɪ,modern_rp,391.300000,1781.300000,-0.534629,0.829922
ʊ,modern_rp,386.400000,1439.200000,-0.631020,-0.569447
uː,modern_rp,360.200000,1530.100000,-1.146414,-0.197618
eɪ,modern_rp,392.700000,1901.800000,-0.507089,1.322831
ɛ,modern_rp,457.800000,1577.100000,0.773529,-0.005363
æ,modern_rp,510.600000,1515.100000,1.812187,-0.258976
ʌ,modern_rp,460.000000,1367.700000,0.816807,-0.861919
ɔː,modern_rp,454.800000,1146.700000,0.714515,-1.765926
eɪ,modern_rp_full,394.200000,1954.966667,-0.481150,1.294831
iː,modern_rp_full,355.200000,1996.600000,-1.270696,1.456062
uː,modern_rp_full,358.366667,1615.966667,-1.206587,-0.018001
æ,modern_rp_full,505.066667,1569.833333,1.763318,-0.196659
ɔː,modern_rp_full,454.600000,1148.000000,0.741633,-1.830276
ɛ,modern_rp_full,461.200000,1600.900000,0.875248,-0.076349
ɪ,modern_rp_full,391.166667,1835.800000,-0.542559,0.833339
ʊ,modern_rp_full,386.533333,1470.033333,-0.636360,-0.583151
ʌ,modern_rp_full,455.366667,1393.433333,0.757154,-0.879796
eɪ,modern_rp_no_bbc,378.900000,1891.550000,-0.505333,1.146600
iː,modern_rp_no_bbc,343.500000,1979.650000,-1.274928,1.505009
uː,modern_rp_no_bbc,342.100000,1602.350000,-1.305363,-0.029924
æ,modern_rp_no_bbc,475.000000,1591.000000,1.583876,-0.076098
ɔː,modern_rp_no_bbc,442.200000,1160.250000,0.870806,-1.828476
ɛ,modern_rp_no_bbc,441.800000,1592.800000,0.862110,-0.068775
ɪ,modern_rp_no_bbc,374.150000,1834.000000,-0.608598,0.912475
ʊ,modern_rp_no_bbc,378.900000,1439.050000,-0.505333,-0.694261
ʌ,modern_rp_no_bbc,442.750000,1396.700000,0.882763,-0.866550
eɪ,native_wide,380.400000,1855.675000,-0.416299,1.156312
iː,native_wide,329.900000,1960.925000,-1.340279,1.575031
uː,native_wide,337.525000,1598.325000,-1.200767,0.132489
æ,native_wide,510.025000,1507.200000,1.955402,-0.230036
ɔː,native_wide,437.750000,1111.225000,0.633013,-1.805354
ɛ,native_wide,451.850000,1542.000000,0.890995,-0.091590
ɪ,native_wide,365.350000,1763.375000,-0.691663,0.789112
ʊ,native_wide,397.025000,1415.700000,-0.112118,-0.594053
ʌ,native_wide,418.550000,1330.775000,0.281717,-0.931912
